uid,rank,covered,model
User1000,,0,lm
User1000,,0,ranker
User1000,,0,preRL
User102,902.0,1,lm
User102,1513.0,1,ranker
User102,706.0,1,preRL
User107,3271.0,1,lm
User107,2287.0,1,ranker
User107,3949.0,1,preRL
User120,,0,lm
User120,,0,ranker
User120,,0,preRL
User122,291.0,1,lm
User122,84.0,1,ranker
User122,266.0,1,preRL
User125,,0,lm
User125,,0,ranker
User125,,0,preRL
User127,383.0,1,lm
User127,706.0,1,ranker
User127,322.0,1,preRL
User138,251.0,1,lm
User138,105.0,1,ranker
User138,179.0,1,preRL
User14,,0,lm
User14,,0,ranker
User14,,0,preRL
User141,833.0,1,lm
User141,479.0,1,ranker
User141,1058.0,1,preRL
User15,33.0,1,lm
User15,7.0,1,ranker
User15,55.0,1,preRL
User157,662.0,1,lm
User157,553.0,1,ranker
User157,677.0,1,preRL
User159,337.0,1,lm
User159,68.0,1,ranker
User159,335.0,1,preRL
User162,144.0,1,lm
User162,380.0,1,ranker
User162,103.0,1,preRL
User164,224.0,1,lm
User164,197.0,1,ranker
User164,222.0,1,preRL
User170,49.0,1,lm
User170,22.0,1,ranker
User170,19.0,1,preRL
User171,105.0,1,lm
User171,288.0,1,ranker
User171,133.0,1,preRL
User179,5191.0,1,lm
User179,1070.0,1,ranker
User179,5701.0,1,preRL
User182,7692.0,1,lm
User182,5437.0,1,ranker
User182,6902.0,1,preRL
User183,878.0,1,lm
User183,1063.0,1,ranker
User183,1176.0,1,preRL
User184,1810.0,1,lm
User184,26023.0,1,ranker
User184,2109.0,1,preRL
User188,211.0,1,lm
User188,277.0,1,ranker
User188,235.0,1,preRL
User191,317.0,1,lm
User191,119.0,1,ranker
User191,265.0,1,preRL
User192,189.0,1,lm
User192,29.0,1,ranker
User192,268.0,1,preRL
User2,364.0,1,lm
User2,501.0,1,ranker
User2,361.0,1,preRL
User200,6286.0,1,lm
User200,4299.0,1,ranker
User200,6417.0,1,preRL
User203,103.0,1,lm
User203,113.0,1,ranker
User203,127.0,1,preRL
User212,87.0,1,lm
User212,81.0,1,ranker
User212,57.0,1,preRL
User225,62.0,1,lm
User225,22.0,1,ranker
User225,52.0,1,preRL
User226,34.0,1,lm
User226,60.0,1,ranker
User226,51.0,1,preRL
User23,407.0,1,lm
User23,159.0,1,ranker
User23,118.0,1,preRL
User239,29.0,1,lm
User239,24.0,1,ranker
User239,46.0,1,preRL
User241,111.0,1,lm
User241,107.0,1,ranker
User241,84.0,1,preRL
User243,471.0,1,lm
User243,478.0,1,ranker
User243,480.0,1,preRL
User245,26.0,1,lm
User245,8.0,1,ranker
User245,32.0,1,preRL
User248,122.0,1,lm
User248,127.0,1,ranker
User248,133.0,1,preRL
User249,17.0,1,lm
User249,27.0,1,ranker
User249,25.0,1,preRL
User256,42.0,1,lm
User256,4.0,1,ranker
User256,68.0,1,preRL
User275,137.0,1,lm
User275,63.0,1,ranker
User275,140.0,1,preRL
User281,138.0,1,lm
User281,250.0,1,ranker
User281,155.0,1,preRL
User291,7.0,1,lm
User291,2.0,1,ranker
User291,3.0,1,preRL
User293,281.0,1,lm
User293,227.0,1,ranker
User293,144.0,1,preRL
User294,5.0,1,lm
User294,41.0,1,ranker
User294,2.0,1,preRL
User297,321.0,1,lm
User297,102.0,1,ranker
User297,266.0,1,preRL
User3,24.0,1,lm
User3,113.0,1,ranker
User3,52.0,1,preRL
User30,3.0,1,lm
