uid,rank,covered,model
User1000,,0,lm
User1000,,0,ranker
User1000,,0,postRL
User102,893.0,1,lm
User102,2282.0,1,ranker
User102,973.0,1,postRL
User107,4453.0,1,lm
User107,170.0,1,ranker
User107,4066.0,1,postRL
User120,,0,lm
User120,,0,ranker
User120,,0,postRL
User122,281.0,1,lm
User122,319.0,1,ranker
User122,287.0,1,postRL
User125,,0,lm
User125,,0,ranker
User125,,0,postRL
User127,413.0,1,lm
User127,443.0,1,ranker
User127,420.0,1,postRL
User138,197.0,1,lm
User138,347.0,1,ranker
User138,205.0,1,postRL
User14,,0,lm
User14,,0,ranker
User14,,0,postRL
User141,1111.0,1,lm
User141,1249.0,1,ranker
User141,1139.0,1,postRL
User15,23.0,1,lm
User15,25.0,1,ranker
User15,22.0,1,postRL
User157,723.0,1,lm
User157,783.0,1,ranker
User157,739.0,1,postRL
User159,373.0,1,lm
User159,231.0,1,ranker
User159,372.0,1,postRL
User162,155.0,1,lm
User162,144.0,1,ranker
User162,159.0,1,postRL
User164,200.0,1,lm
User164,142.0,1,ranker
User164,196.0,1,postRL
User170,18.0,1,lm
User170,15.0,1,ranker
User170,15.0,1,postRL
User171,158.0,1,lm
User171,234.0,1,ranker
User171,155.0,1,postRL
User179,6093.0,1,lm
User179,12250.0,1,ranker
User179,6023.0,1,postRL
User182,8109.0,1,lm
User182,7558.0,1,ranker
User182,8137.0,1,postRL
User183,654.0,1,lm
User183,1126.0,1,ranker
User183,638.0,1,postRL
User184,3079.0,1,lm
User184,2333.0,1,ranker
User184,2653.0,1,postRL
User188,226.0,1,lm
User188,334.0,1,ranker
User188,230.0,1,postRL
User191,246.0,1,lm
User191,258.0,1,ranker
User191,245.0,1,postRL
User192,234.0,1,lm
User192,99.0,1,ranker
User192,232.0,1,postRL
User2,331.0,1,lm
User2,319.0,1,ranker
User2,332.0,1,postRL
User200,6041.0,1,lm
User200,5631.0,1,ranker
User200,6055.0,1,postRL
User203,92.0,1,lm
User203,97.0,1,ranker
User203,94.0,1,postRL
User212,82.0,1,lm
User212,70.0,1,ranker
User212,82.0,1,postRL
User225,61.0,1,lm
User225,41.0,1,ranker
User225,61.0,1,postRL
User226,16.0,1,lm
User226,18.0,1,ranker
User226,17.0,1,postRL
User23,263.0,1,lm
User23,79.0,1,ranker
User23,219.0,1,postRL
User239,32.0,1,lm
User239,56.0,1,ranker
User239,37.0,1,postRL
User241,96.0,1,lm
User241,114.0,1,ranker
User241,99.0,1,postRL
User243,425.0,1,lm
User243,289.0,1,ranker
User243,419.0,1,postRL
User245,14.0,1,lm
User245,27.0,1,ranker
User245,15.0,1,postRL
User248,119.0,1,lm
User248,125.0,1,ranker
User248,120.0,1,postRL
User249,13.0,1,lm
User249,10.0,1,ranker
User249,11.0,1,postRL
User256,7.0,1,lm
User256,1.0,1,ranker
User256,6.0,1,postRL
User275,151.0,1,lm
User275,307.0,1,ranker
User275,153.0,1,postRL
User281,161.0,1,lm
User281,182.0,1,ranker
User281,135.0,1,postRL
User291,4.0,1,lm
User291,2.0,1,ranker
User291,3.0,1,postRL
User293,57.0,1,lm
User293,52.0,1,ranker
User293,48.0,1,postRL
User294,11.0,1,lm
User294,18.0,1,ranker
User294,12.0,1,postRL
User297,244.0,1,lm
User297,53.0,1,ranker
User297,226.0,1,postRL
User3,39.0,1,lm
User3,115.0,1,ranker
User3,46.0,1,postRL
User30,27.0,1,lm
