uid,rank,covered
User1000,,0
User102,1082.0,1
User107,3677.0,1
User120,,0
User122,286.0,1
User125,,0
User127,337.0,1
User138,231.0,1
User14,,0
User141,1029.0,1
User15,19.0,1
User157,754.0,1
User159,359.0,1
User162,188.0,1
User164,215.0,1
User170,20.0,1
User171,153.0,1
User179,6008.0,1
User182,7887.0,1
User183,518.0,1
User184,2460.0,1
User188,224.0,1
User191,243.0,1
User192,225.0,1
User2,416.0,1
User200,5850.0,1
User203,112.0,1
User212,72.0,1
User225,60.0,1
User226,13.0,1
User23,79.0,1
User239,90.0,1
User241,101.0,1
User243,462.0,1
User245,35.0,1
User248,122.0,1
User249,8.0,1
User256,5.0,1
User275,163.0,1
User281,180.0,1
User291,11.0,1
User293,253.0,1
User294,8.0,1
User297,195.0,1
User3,120.0,1
User30,34.0,1
User300,131.0,1
User303,255.0,1
User308,224.0,1
User309,421.0,1
User312,391.0,1
User323,,0
User325,,0
User33,,0
User340,,0
User341,,0
User342,12.0,1
User344,,0
User345,,0
User347,,0
User351,,0
User354,,0
User365,,0
User369,,0
User389,,0
User39,137.0,1
User398,,0
User408,,0
User411,62.0,1
User415,,0
User425,,0
User429,,0
User431,,0
User434,,0
User44,172.0,1
User447,,0
User448,,0
User449,,0
User45,,0
User453,,0
User463,,0
User466,,0
User468,,0
User485,,0
User488,,0
User493,,0
User5,77.0,1
User511,,0
User516,,0
User520,88.0,1
User521,,0
User524,,0
User53,,0
User553,,0
User559,,0
User564,,0
User568,,0
User586,,0
User590,,0
User593,,0
User595,,0
User600,,0
User607,,0
User608,,0
User611,,0
User615,,0
User620,,0
User630,,0
User636,,0
User637,,0
User641,,0
User642,,0
User648,,0
User653,,0
User655,,0
User66,,0
User669,,0
User677,,0
User678,43.0,1
User684,,0
User688,,0
User689,,0
User69,,0
User691,,0
User696,,0
User698,,0
User702,21.0,1
User708,,0
User716,,0
User721,,0
User725,,0
User727,,0
User728,,0
User73,,0
User732,,0
User741,2.0,1
User745,,0
User748,,0
User759,,0
User760,,0
User761,,0
User763,,0
User764,,0
User770,,0
User771,,0
User778,99.0,1
User781,,0
User782,,0
User785,4.0,1
User787,,0
User790,,0
User795,4.0,1
User799,,0
User801,,0
User806,,0
User807,,0
User810,,0
User813,,0
User829,,0
User840,,0
User841,,0
User842,195.0,1
User844,93.0,1
User846,,0
User856,,0
User863,,0
User868,127.0,1
User876,,0
User88,,0
User887,,0
User892,,0
User893,,0
User898,,0
User90,,0
User908,,0
User914,82.0,1
User915,,0
User916,,0
User920,,0
User931,,0
User936,20.0,1
User937,,0
User941,,0
User951,105.0,1
User958,75.0,1
User959,107.0,1
User96,1801.0,1
User961,,0
User966,,0
User967,,0
User972,,0
User976,,0
User98,,0
User983,,0
User984,,0
User987,8.0,1
User990,,0
User992,,0
User994,,0
User998,55.0,1
