model,display_model,top_x,flatness,section,beta,top_1,top_3,top_5,top_10,top_20,success_at_10,success_at_50,success_at_100,success_at_300,success_at_500,final_successes,failures_until_exhaustion_or_T2
List (RockYou freq),List,1.0,0.045454545454545456,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,2.0,0.09090909090909091,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,3.0,0.13636363636363635,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,4.0,0.18181818181818182,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,5.0,0.22727272727272727,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,6.0,0.2727272727272727,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,7.0,0.3181818181818182,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,8.0,0.3181818181818182,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,9.0,0.38636363636363635,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,10.0,0.4090909090909091,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,11.0,0.4318181818181818,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,12.0,0.45454545454545453,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,13.0,0.4772727272727273,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,14.0,0.5227272727272727,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,15.0,0.5454545454545454,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,16.0,0.7272727272727273,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,17.0,0.8409090909090909,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,18.0,0.8409090909090909,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,19.0,0.9545454545454546,human_flatness,,,,,,,,,,,,,
List (RockYou freq),List,20.0,1.0,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,1.0,0.06818181818181818,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,2.0,0.11363636363636363,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,3.0,0.13636363636363635,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,4.0,0.18181818181818182,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,5.0,0.22727272727272727,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,6.0,0.2727272727272727,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,7.0,0.29545454545454547,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,8.0,0.3181818181818182,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,9.0,0.36363636363636365,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,10.0,0.4318181818181818,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,11.0,0.4772727272727273,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,12.0,0.4772727272727273,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,13.0,0.4772727272727273,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,14.0,0.5,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,15.0,0.5227272727272727,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,16.0,0.5909090909090909,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,17.0,0.6363636363636364,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,18.0,0.6363636363636364,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,19.0,0.6818181818181818,human_flatness,,,,,,,,,,,,,
Markov backoff (n-gram),Markov,20.0,1.0,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,1.0,0.09090909090909091,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,2.0,0.22727272727272727,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,3.0,0.22727272727272727,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,4.0,0.22727272727272727,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,5.0,0.2727272727272727,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,6.0,0.29545454545454547,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,7.0,0.3181818181818182,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,8.0,0.3181818181818182,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,9.0,0.36363636363636365,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,10.0,0.38636363636363635,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,11.0,0.4090909090909091,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,12.0,0.4090909090909091,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,13.0,0.4318181818181818,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,14.0,0.4772727272727273,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,15.0,0.5227272727272727,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,16.0,0.5454545454545454,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,17.0,0.5454545454545454,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,18.0,0.5681818181818182,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,19.0,0.6136363636363636,human_flatness,,,,,,,,,,,,,
PCFG-lite,TarGuess-style,20.0,1.0,human_flatness,,,,,,,,,,,,,
Targeted List,,,,targeted_flatness,0.5,0.14,0.5,0.56,0.66,1.0,,,,,,,
Targeted Markov,,,,targeted_flatness,0.5,0.06,0.12,0.26,0.44,1.0,,,,,,,
Targeted PCFG-lite,,,,targeted_flatness,0.5,0.14,0.24,0.26,0.38,1.0,,,,,,,
Targeted List,,,,targeted_flatness,1.0,0.14,0.5,0.56,0.66,1.0,,,,,,,
Targeted Markov,,,,targeted_flatness,1.0,0.06,0.14,0.28,0.46,1.0,,,,,,,
Targeted PCFG-lite,,,,targeted_flatness,1.0,0.14,0.24,0.26,0.4,1.0,,,,,,,
Targeted List,,,,targeted_flatness,2.0,0.14,0.5,0.56,0.66,1.0,,,,,,,
Targeted Markov,,,,targeted_flatness,2.0,0.06,0.16,0.3,0.54,1.0,,,,,,,
Targeted PCFG-lite,,,,targeted_flatness,2.0,0.16,0.24,0.26,0.44,1.0,,,,,,,
Targeted List,,,,targeted_success,0.5,,,,,,18.0,44.0,44.0,44.0,44.0,44.0,0.0
Targeted List,,,,targeted_success,1.0,,,,,,18.0,44.0,44.0,44.0,44.0,44.0,0.0
Targeted List,,,,targeted_success,2.0,,,,,,18.0,44.0,44.0,44.0,44.0,44.0,0.0
Targeted Markov,,,,targeted_success,0.5,,,,,,19.0,44.0,44.0,44.0,44.0,44.0,0.0
Targeted Markov,,,,targeted_success,1.0,,,,,,19.0,44.0,44.0,44.0,44.0,44.0,0.0
Targeted Markov,,,,targeted_success,2.0,,,,,,19.0,44.0,44.0,44.0,44.0,44.0,0.0
Targeted PCFG-lite,,,,targeted_success,0.5,,,,,,17.0,44.0,44.0,44.0,44.0,44.0,0.0
Targeted PCFG-lite,,,,targeted_success,1.0,,,,,,17.0,44.0,44.0,44.0,44.0,44.0,0.0
Targeted PCFG-lite,,,,targeted_success,2.0,,,,,,17.0,44.0,44.0,44.0,44.0,44.0,0.0
